,id,dim_datetimes_id,dim_meters_id,dim_bills_id,kwh,delivery_cost,service_cost,supply_cost,tax_cost,total_cost,account_number
479998,479999,88493,8,246.0,2.518,0.0,0.03131118650767507,0.5268843465909091,0.01885745786554954,0.5770529909641336,35012790198
479999,480000,88497,8,246.0,2.041,0.0,0.025379718690295802,0.42707345170454547,0.015285175338993887,0.46773834573383516,35012790198
480000,480001,88501,8,246.0,2.531,0.0,0.03147284076684894,0.5296045596590909,0.01895481567025651,0.5800322160961964,35012790198
480001,480002,88505,8,246.0,1.532,0.0,0.01905033269648857,0.3205666477272727,0.011473242831621088,0.3510902232553824,35012790198
480002,480003,88509,8,246.0,2.425,0.0,0.030154736807431318,0.5074243607954545,0.018160975108799694,0.5557400727116855,35012790198
480003,480004,88513,8,246.0,1.921,0.0,0.023887525528690955,0.4019637926136364,0.014386487910929573,0.4402378060532569,35012790198
480004,480005,88517,8,246.0,2.561,0.0,0.03184588905725015,0.5358819744318182,0.01917948752727259,0.586907351016341,35012790198
480005,480006,88521,8,246.0,1.859,0.0,0.02311655906186178,0.38899046875000004,0.013922166073096345,0.42602919388495814,35012790198
480006,480007,88525,8,246.0,2.349,0.0,0.029209681138414923,0.49152157670454555,0.017591806404358968,0.5383230642473195,35012790198
480007,480008,88529,8,246.0,1.856,0.0,0.02307925423282166,0.3883627272727273,0.013899698887394738,0.4253416803929437,35012790198
480008,480009,88533,8,246.0,2.356,0.0,0.029296725739508533,0.49298630681818184,0.017644229837662718,0.539927262395353,35012790198
480009,480010,88537,8,246.0,1.966,0.0,0.02444709796429277,0.4113799147727273,0.014723495696453691,0.4505505084334738,35012790198
480010,480011,88541,8,246.0,2.516,0.0,0.03128631662164833,0.5264658522727274,0.018842479741748467,0.5765946486361242,35012790198
480011,480012,88545,8,246.0,2.084,0.0,0.025914421239870873,0.4360710795454546,0.015607205000716934,0.4775927057860424,35012790198
480012,480013,88549,8,246.0,2.783,0.0,0.03460644640621912,0.58233484375,0.020842059269191568,0.6377833494254107,35012790198
480013,480014,88553,8,246.0,3.143,0.0,0.039083025891033664,0.6576638210227272,0.023538121553384514,0.7202849684671454,35012790198
480014,480015,88557,8,246.0,4.23,0.0,0.05259980894657093,0.8851154829545456,0.03167873183926711,0.9693940237403835,35012790198
480015,480016,88561,8,246.0,4.968,0.0,0.06177679689044074,1.0395398863636365,0.03720565952186263,1.1385223427759399,35012790198
480016,480017,88565,8,246.0,5.483,0.0,0.06818079254232821,1.1473021732954545,0.04106252640063865,1.2565454922384212,35012790198
480017,480018,88569,8,246.0,2.489,0.0,0.030950573160287237,0.5208161789772727,0.018640275070433997,0.570407027207994,35012790198
480018,480019,88573,8,246.0,2.196,0.0,0.02730713485736874,0.45950676136363644,0.016445979933576965,0.5032598761545821,35012790198
480019,480020,88577,8,246.0,2.479,0.0,0.030826223730153503,0.5187237073863636,0.01856538445142864,0.5681153155679458,35012790198
480020,480021,88581,8,246.0,2.12,0.0,0.02636207918835233,0.4436039772727273,0.01587681122913623,0.4858428676902159,35012790198
480021,480022,88585,8,246.0,2.515,0.0,0.03127388167863496,0.5262566051136364,0.018834990679847934,0.5763654774721193,35012790198
480022,480023,88589,8,246.0,2.097,0.0,0.026076075499044737,0.43879129261363636,0.015704562805423903,0.480571930918105,35012790198
480023,480024,88593,8,246.0,2.506,0.0,0.03116196719151459,0.5243733806818182,0.018767589122743105,0.5743029369960758,35012790198
480024,480025,88597,8,246.0,1.919,0.0,0.02386265564266421,0.4015452982954546,0.014371509787128504,0.4397794637252473,35012790198
480025,480026,88601,8,246.0,1.741,0.0,0.021649235786283683,0.3642993039772728,0.013038456768833103,0.39898699653238956,35012790198
480026,480027,88605,8,246.0,2.174,0.0,0.027033566111074513,0.45490332386363636,0.016281220571765172,0.498218110546476,35012790198
480027,480028,88609,8,246.0,1.958,0.0,0.024347618420185783,0.4097059375,0.014663583201249405,0.4487171391214352,35012790198
480028,480029,88613,8,246.0,2.318,0.0,0.02882419790500033,0.4850349147727273,0.01735964548544235,0.53121875816317,35012790198
480029,480030,88617,8,246.0,1.962,0.0,0.024397358192239278,0.4105429261363637,0.014693539448851548,0.4496338237774545,35012790198
480030,480031,88621,8,246.0,2.275,0.0,0.028289495355425257,0.4760372869318182,0.0170376158237193,0.5213643981109628,35012790198
480031,480032,88625,8,246.0,1.813,0.0,0.02254455168324659,0.3793650994318182,0.01357766922567169,0.41548732034073643,35012790198
480032,480033,88629,8,246.0,2.264,0.0,0.02815271098227815,0.47373556818181817,0.01695523614281341,0.5188435153069096,35012790198
480033,480034,88633,8,246.0,1.832,0.0,0.022780815600500694,0.38334079545454547,0.013719961401781874,0.41984157245682807,35012790198
480034,480035,88637,8,246.0,2.511,0.0,0.031224141906581467,0.5254196164772728,0.01880503443224579,0.5754487928161001,35012790198
480035,480036,88641,8,246.0,2.205,0.0,0.027419049344489098,0.4613899857954546,0.016513381490681787,0.5053224166306255,35012790198
480036,480037,88645,8,246.0,4.781,0.0,0.059451462546939844,1.0004106676136364,0.03580520494646241,1.0956673351070385,35012790198
480037,480038,88649,8,246.0,4.442,0.0,0.05523601686540616,0.9294758806818183,0.033266412962180726,1.0179783105094051,35012790198
480038,480039,88653,8,246.0,5.468,0.0,0.06799426839712762,1.144163465909091,0.04095019047213062,1.253107924778349,35012790198
480039,480040,88657,8,246.0,3.623,0.0,0.045051798537453065,0.7581024573863637,0.027132871265641775,0.8302871271894586,35012790198
480040,480041,88661,8,246.0,2.545,0.0,0.03164692996903617,0.5325340198863636,0.01905966253686401,0.5832406123922638,35012790198
480041,480042,88665,8,246.0,2.536,0.0,0.031535015481915805,0.5306507954545455,0.018992260979759187,0.5811780719162205,35012790198
480042,480043,88669,8,246.0,2.57,0.0,0.03195780354437051,0.5377651988636364,0.019246889084377408,0.5889698914923843,35012790198
480043,480044,88673,8,246.0,2.489,0.0,0.030950573160287237,0.5208161789772727,0.018640275070433997,0.570407027207994,35012790198
480044,480045,88677,8,246.0,2.513,0.0,0.03124901179260821,0.5258381107954545,0.01882001255604686,0.5759071351441095,35012790198
480045,480046,88681,8,246.0,2.196,0.0,0.02730713485736874,0.45950676136363644,0.016445979933576965,0.5032598761545821,35012790198
480046,480047,88685,8,246.0,2.403,0.0,0.0298811680611371,0.5028209232954546,0.017996215746987905,0.5506983071035796,35012790198
480047,480048,88689,8,246.0,2.453,0.0,0.030502915211805783,0.51328328125,0.0183706688420147,0.5621568653038205,35012790198
480048,480049,88693,8,246.0,1.942,0.0,0.024148659331971804,0.40635798295454545,0.01454375821084083,0.44505040049735806,35012790198
480049,480050,88697,8,246.0,1.917,0.0,0.02383778575663746,0.40112680397727274,0.014356531663327432,0.43932112139723767,35012790198
480050,480051,88701,8,246.0,2.291,0.0,0.02848845444363924,0.47938524147727274,0.01715744081412788,0.5250311367350399,35012790198
480051,480052,88705,8,246.0,2.205,0.0,0.027419049344489098,0.4613899857954546,0.016513381490681787,0.5053224166306255,35012790198
480052,480053,88709,8,246.0,2.07,0.0,0.02574033203768364,0.4331416193181818,0.01550235813410943,0.47438430948997484,35012790198
480053,480054,88713,8,246.0,2.25,0.0,0.027978621780090914,0.47080610795454547,0.016850389276205902,0.5156351190108422,35012790198
480054,480055,88717,8,246.0,1.831,0.0,0.02276838065748732,0.38313154829545454,0.013712472339881336,0.4196124012928232,35012790198
480055,480056,88721,8,246.0,2.237,0.0,0.027816967520917057,0.4680858948863637,0.01675303147149894,0.5126558938787797,35012790198
480056,480057,88725,8,246.0,1.993,0.0,0.024782841425653866,0.41702958806818186,0.014925700367768165,0.4567381298616039,35012790198
480057,480058,88729,8,246.0,2.3,0.0,0.0286003689307596,0.4812684659090909,0.017224842371232698,0.5270936772110831,35012790198
480058,480059,88733,8,246.0,3.431,0.0,0.0426642894788853,0.7179270028409092,0.025694971380738868,0.7862862637005333,35012790198
480059,480060,88737,8,246.0,8.23,0.0,0.10233958100006589,1.722104119318182,0.06163497944141093,1.8860786797596587,35012790198
480060,480061,88741,8,246.0,5.413,0.0,0.06731034653139206,1.132654872159091,0.04053829206760114,1.2405035107580842,35012790198
480061,480062,88745,8,246.0,3.409,0.0,0.042390720732591085,0.7133235653409091,0.02553021201892708,0.7812444980924274,35012790198
480062,480063,88749,8,246.0,5.161,0.0,0.06417674089202187,1.0799245880681818,0.03865104846866607,1.1827523774288697,35012790198
480063,480064,88753,8,246.0,3.56,0.0,0.04426839712761052,0.7449198863636364,0.02666106036590801,0.8158493438571549,35012790198
480064,480065,88757,8,246.0,2.992,0.0,0.03720534949601423,0.6260675,0.022407273206403584,0.6856801227024178,35012790198
480065,480066,88761,8,246.0,2.804,0.0,0.03486758020949997,0.586729034090909,0.02099932956910282,0.6425959438695118,35012790198
480066,480067,88765,8,246.0,3.083,0.0,0.03833692931023125,0.6451089914772729,0.02308877783935236,0.7065346986268565,35012790198
480067,480068,88769,8,246.0,2.5,0.0,0.031087357533434352,0.5231178977272728,0.018722654751339895,0.5729279100120471,35012790198
480068,480069,88773,8,246.0,2.497,0.0,0.03105005270439423,0.52249015625,0.018700187565638286,0.5722403965200324,35012790198
480069,480070,88777,8,246.0,2.743,0.0,0.034109048685684165,0.5739649573863637,0.020542496793170127,0.628616502865218,35012790198
480070,480071,88781,8,246.0,2.594,0.0,0.03225624217669148,0.5427871306818182,0.019426626569990273,0.5944699994284999,35012790198
480071,480072,88785,8,246.0,2.425,0.0,0.030154736807431318,0.5074243607954545,0.018160975108799694,0.5557400727116855,35012790198
480072,480073,88789,8,246.0,2.272,0.0,0.028252190526385133,0.47540954545454545,0.01701514863801769,0.5206768846189482,35012790198
480073,480074,88793,8,246.0,1.516,0.0,0.01885137360827459,0.3172186931818182,0.011353417841212512,0.34742348463130535,35012790198
480074,480075,88797,8,246.0,2.169,0.0,0.02697139139600764,0.45385708806818187,0.01624377526226249,0.497072254726452,35012790198
480075,480076,88801,8,246.0,2.165,0.0,0.026921651623954147,0.4530200994318182,0.016213819014660347,0.4961555700704327,35012790198
480076,480077,88805,8,246.0,2.162,0.0,0.026884346794914023,0.45239235795454547,0.016191351828958738,0.49546805657841825,35012790198
480077,480078,88809,8,246.0,2.291,0.0,0.02848845444363924,0.47938524147727274,0.01715744081412788,0.5250311367350399,35012790198
480078,480079,88813,8,246.0,1.714,0.0,0.02131349232492259,0.3586496306818182,0.01283625209751863,0.39279937510425944,35012790198
480079,480080,88817,8,246.0,2.133,0.0,0.026523733447526187,0.4463241903409091,0.015974169033843195,0.48882209282227845,35012790198
480080,480081,88821,8,246.0,2.131,0.0,0.026498863561499438,0.4459056960227272,0.015959190910042123,0.4883637504942688,35012790198
480081,480082,88825,8,246.0,1.746,0.0,0.021711410501350552,0.36534553977272727,0.013075902078335781,0.4001328523524136,35012790198
480082,480083,88829,8,246.0,2.765,0.0,0.034382617431978395,0.5785683948863637,0.020707256154981923,0.633658268473324,35012790198
480083,480084,88833,8,246.0,3.548,0.0,0.04411917781145003,0.7424089204545455,0.026571191623101575,0.8130992898890972,35012790198
480084,480085,88837,8,246.0,2.689,0.0,0.03343756176296199,0.5626656107954546,0.02013808745054119,0.6162412600089578,35012790198
480085,480086,88841,8,246.0,3.402,0.0,0.04230367613149747,0.7118588352272728,0.02547778858562333,0.7796402999443935,35012790198
480086,480087,88845,8,246.0,3.854,0.0,0.047924270373542396,0.8064385511363636,0.02886284456466558,0.8832256660745716,35012790198
480087,480088,88849,8,246.0,3.967,0.0,0.049329418934053626,0.8300834801136364,0.029709108559426142,0.9091220076071161,35012790198
480088,480089,88853,8,189.0,5.13,0.0,0.0637912576586073,0.0,0.03841888754974946,0.10221014520835675,35012790198
480089,480090,88857,8,189.0,2.576,0.0836839529757596,0.03203241320245076,0.14112809698752013,0.019291823455780628,0.27613628662151113,35012790198
480090,480091,88861,8,189.0,2.585,0.18057013225569435,0.032144327689571116,0.30452097722263044,0.01935922501288545,0.5365946621807813,35012790198
480091,480092,88865,8,189.0,2.293,0.1601730418809699,0.02851332432966599,0.27012247612049967,0.01717241893792895,0.4759812612690645,35012790198
480092,480093,88869,8,189.0,2.255,0.15751862601028654,0.028040796495157783,0.265645958853784,0.016887834585708583,0.4680932159449369,35012790198
480093,480094,88873,8,189.0,2.394,0.16722819985304924,0.029769253574016736,0.282020587803086,0.017928814189883083,0.496946855420035,35012790198
480094,480095,88877,8,189.0,2.23,0.15577229977957385,0.02772992291982344,0.26270088170462896,0.016700608038195185,0.4629037124422214,35012790198
480095,480096,88881,8,189.0,2.169,0.15151126377663482,0.02697139139600764,0.2555148934606907,0.01624377526226249,0.4502413238955956,35012790198
480096,480097,88885,8,189.0,2.162,0.15102229243203527,0.026884346794914023,0.2546902718589273,0.016191351828958738,0.44878826291483537,35012790198
480097,480098,88889,8,189.0,1.435,0.10023912564290963,0.017844143224191318,0.1690474283614989,0.0107468038272691,0.29787750105586897,35012790198
480098,480099,88893,8,189.0,2.203,0.1538862674504041,0.02739417945846235,0.2595201983835415,0.016498403366880715,0.4572990486592886,35012790198
480099,480100,88897,8,189.0,2.002,0.1398458045554739,0.024894755912774225,0.23584177810433504,0.014993101924872985,0.41557544049745615,35012790198
480100,480101,88901,8,189.0,2.016,0.14082374724467303,0.02506884511496146,0.23749102130786187,0.015097948791480489,0.41848156245897683,35012790198
480101,480102,88905,8,189.0,2.025,0.1414524246877296,0.025180759602081822,0.23855124908155767,0.015165350348585313,0.4203497837199544,35012790198
480102,480103,88909,8,189.0,1.796,0.12545607641440118,0.02233315765201924,0.2115743423952976,0.01345035517336258,0.3728139316350806,35012790198
480103,480104,88913,8,189.0,2.012,0.140544335047759,0.025019105342907966,0.23701980896399708,0.015067992543878346,0.4176512418985424,35012790198
480104,480105,88917,8,189.0,1.969,0.13754065393093315,0.024484402793332895,0.23195427626745044,0.0147459628821553,0.4087252958738718,35012790198
480105,480106,88921,8,189.0,2.012,0.140544335047759,0.025019105342907966,0.23701980896399708,0.015067992543878346,0.4176512418985424,35012790198
480106,480107,88925,8,189.0,1.825,0.12748181484202792,0.022693770999407076,0.2149906318883174,0.013667537968478123,0.3788337556982306,35012790198
480107,480108,88929,8,189.0,2.018,0.14096345334313004,0.025093715000988205,0.23772662747979426,0.015112926915281561,0.41889672273919404,35012790198
480108,480109,88933,8,189.0,2.164,0.15116199853049228,0.02690921668094078,0.2549258780308597,0.016206329952759814,0.4492034231950526,35012790198
480109,480110,88937,8,189.0,1.62,0.1131619397501837,0.02014460768166546,0.19084099926524617,0.012132280278868252,0.3362798269759636,35012790198
480110,480111,88941,8,189.0,2.336,0.16317672299779573,0.029048026879241056,0.2751880088170463,0.017494448599651994,0.48490720729373504,35012790198
480111,480112,88945,8,189.0,2.381,0.1663201102130786,0.029607599314842876,0.28048914768552535,0.017831456385176116,0.494248313598623,35012790198
480112,480113,88949,8,189.0,2.554,0.17840468772961057,0.03175884445615653,0.30086908155767816,0.019127064093968835,0.5301596778374141,35012790198
480113,480114,88953,8,189.0,2.396,0.16736790595150625,0.02979412346004348,0.2822561939750184,0.01794379231368415,0.4973620157002523,35012790198
480114,480115,88957,8,189.0,2.353,0.16436422483468038,0.02925942091046841,0.27719066127847175,0.01762176265196111,0.4884360696755816,35012790198
480115,480116,88961,8,189.0,2.306,0.16108113152094047,0.02867497858883985,0.2716539162380603,0.01726977674263592,0.47867980309047653,35012790198
480116,480117,88965,8,189.0,2.407,0.16813628949301984,0.029930907833190593,0.2835520279206466,0.01802617199459005,0.4996453972414471,35012790198
480117,480118,88969,8,189.0,2.25,0.157169360764144,0.027978621780090914,0.265056943423953,0.016850389276205902,0.4670553152443938,35012790198
480118,480119,88973,8,189.0,2.191,0.153048030859662,0.027244960142301863,0.2581065613519471,0.01640853462407428,0.45480808697798525,35012790198
480119,480120,88977,8,189.0,2.187,0.15276861866274796,0.027195220370248366,0.25763534900808227,0.016378578376472136,0.4539777664175507,35012790198
480120,480121,88981,8,189.0,2.173,0.15179067597354887,0.027021131168061138,0.2559861058045555,0.016273731509864636,0.4510716444560301,35012790198
480121,480122,88985,8,189.0,1.472,0.10282368846436443,0.018304236115686146,0.17340614254224834,0.01102389911758893,0.30555796623988785,35012790198
