abbr_account_number,invoice_number,start_date,end_date,production?,bill_credits_allocated,bill_credit_received,price
10601281,2023040000609881,2023-01-12,2023-02-09,370 kWh,91.08,91.08,77.42
10601281,2023100000830629,2023-07-13,2023-08-10,"1,968 kWh",474.79,474.79,403.57
10601281,2023050000640394,2023-02-10,2023-03-12,897 kWh,220.81,220.81,187.69
10601281,2023070000710653,2023-04-12,2023-05-10,"1,268 kWh",312.14,312.14,265.32
10601281,2023060000661603,2023-03-13,2023-04-11,738 kWh,181.67,181.67,154.42
10601281,2023020000558619,2022-11-10,2022-12-12,"1,050 kWh",199.21,199.21,169.33
10601281,2023030000578307,2022-12-13,2023-01-11,187 kWh,46.03,46.03,39.13
10601281,2023010000539479,2022-10-13,2022-11-09,"1,384 kWh",262.58,262.58,223.19
10601281,2022120000512891,2022-09-01,2022-10-12,"2,528 kWh",479.62,479.62,422.07
10601281,2023080000758144,2023-05-11,2023-06-11,"2,352 kWh",578.98,578.98,492.13
10601281,2023090000800785,2023-06-12,2023-07-12,"1,745 kWh",428.87,428.87,364.54
