abbr_account_number,invoice_number,start_date,end_date,production?,bill_credits_allocated,bill_credit_received,price
10894035,2023040000609881,2023-01-12,2023-02-09,567 kWh,139.58,139.58,118.64
10894035,2023100000830629,2023-07-13,2023-08-10,"3,633 kWh",876.49,876.49,745.02
10894035,2023050000640394,2023-02-10,2023-03-12,"1,436 kWh",353.49,353.49,300.47
10894035,2023070000710653,2023-04-12,2023-05-10,"2,031 kWh",499.96,499.96,424.97
10894035,2023060000661603,2023-03-13,2023-04-11,"1,182 kWh",290.97,290.97,247.32
10894035,2023020000558619,2022-11-10,2022-12-12,"1,611 kWh",305.65,305.65,259.80
10894035,2023030000578307,2022-12-13,2023-01-11,287 kWh,70.65,70.65,60.05
10894035,2023010000539479,2022-10-13,2022-11-09,"2,126 kWh",403.36,403.36,342.86
10894035,2022120000512891,2022-09-01,2022-10-12,"3,881 kWh",736.32,736.32,647.96
10894035,2023080000758144,2023-05-11,2023-06-11,"3,768 kWh",927.55,927.55,788.42
10894035,2023090000800785,2023-06-12,2023-07-12,"2,795 kWh",686.94,686.94,583.90
