abbr_account_number,invoice_number,start_date,end_date,production?,bill_credits_allocated,bill_credit_received,price
10320361,2023040000609881,2023-01-12,2023-02-09,96 kWh,23.63,23.63,20.09
10320361,2023100000830629,2023-07-13,2023-08-10,617 kWh,148.86,148.86,126.53
10320361,2023050000640394,2023-02-10,2023-03-12,281 kWh,69.17,69.17,58.79
10320361,2023070000710653,2023-04-12,2023-05-10,398 kWh,97.97,97.97,83.27
10320361,2023060000661603,2023-03-13,2023-04-11,231 kWh,56.86,56.86,48.33
10320361,2023020000558619,2022-11-10,2022-12-12,274 kWh,51.98,51.98,44.18
10320361,2023030000578307,2022-12-13,2023-01-11,49 kWh,12.06,12.06,10.25
10320361,2023010000539479,2022-10-13,2022-11-09,361 kWh,68.49,68.49,58.22
10320361,2022120000512891,2022-09-01,2022-10-12,659 kWh,125.03,125.03,110.03
10320361,2023080000758144,2023-05-11,2023-06-11,737 kWh,181.42,181.42,154.21
10320361,2023090000800785,2023-06-12,2023-07-12,547 kWh,134.44,134.44,114.27
