abbr_account_number,invoice_number,start_date,end_date,production?,bill_credits_allocated,bill_credit_received,price
12787137,2023040000609881,2023-01-12,2023-02-09,136 kWh,33.48,33.48,28.46
12787137,2023100000830629,2023-07-13,2023-08-10,722 kWh,174.19,174.19,148.06
12787137,2023050000640394,2023-02-10,2023-03-12,329 kWh,80.99,80.99,68.84
12787137,2023070000710653,2023-04-12,2023-05-10,465 kWh,114.47,114.47,97.30
12787137,2023060000661603,2023-03-13,2023-04-11,271 kWh,66.71,66.71,56.70
12787137,2023020000558619,2022-11-10,2022-12-12,385 kWh,73.04,73.04,62.08
12787137,2023030000578307,2022-12-13,2023-01-11,69 kWh,16.99,16.99,14.44
12787137,2023010000539479,2022-10-13,2022-11-09,508 kWh,96.38,96.38,81.92
12787137,2022120000512891,2022-09-01,2022-10-12,927 kWh,175.88,175.88,154.78
12787137,2023080000758144,2023-05-11,2023-06-11,863 kWh,212.44,212.44,180.57
12787137,2023090000800785,2023-06-12,2023-07-12,640 kWh,157.29,157.29,133.70
