abbr_account_number,invoice_number,start_date,end_date,production?,bill_credits_allocated,bill_credit_received,price
12787756,2023040000609881,2023-01-12,2023-02-09,138 kWh,33.97,33.97,28.87
12787756,2023100000830629,2023-07-13,2023-08-10,759 kWh,183.11,183.11,155.64
12787756,2023050000640394,2023-02-10,2023-03-12,346 kWh,85.17,85.17,72.39
12787756,2023070000710653,2023-04-12,2023-05-10,489 kWh,120.37,120.37,102.31
12787756,2023060000661603,2023-03-13,2023-04-11,285 kWh,70.16,70.16,59.64
12787756,2023020000558619,2022-11-10,2022-12-12,391 kWh,74.18,74.18,63.05
12787756,2023030000578307,2022-12-13,2023-01-11,70 kWh,17.23,17.23,14.65
12787756,2023010000539479,2022-10-13,2022-11-09,515 kWh,97.71,97.71,83.05
12787756,2022120000512891,2022-09-01,2022-10-12,941 kWh,178.53,178.53,157.11
12787756,2023080000758144,2023-05-11,2023-06-11,907 kWh,223.27,223.27,189.78
12787756,2023090000800785,2023-06-12,2023-07-12,673 kWh,165.41,165.41,140.60
