abbr_account_number,invoice_number,start_date,end_date,production?,bill_credits_allocated,bill_credit_received,price
10320353,2023040000609881,2023-01-12,2023-02-09,536 kWh,131.94,131.94,112.15
10320353,2023100000830629,2023-07-13,2023-08-10,"3,152 kWh",760.44,760.44,646.37
10320353,2023050000640394,2023-02-10,2023-03-12,"1,436 kWh",353.49,353.49,300.47
10320353,2023070000710653,2023-04-12,2023-05-10,"2,031 kWh",499.96,499.96,424.97
10320353,2023060000661603,2023-03-13,2023-04-11,"1,182 kWh",290.97,290.97,247.32
10320353,2023020000558619,2022-11-10,2022-12-12,"1,523 kWh",288.95,288.95,245.61
10320353,2023030000578307,2022-12-13,2023-01-11,271 kWh,66.71,66.71,56.70
10320353,2023010000539479,2022-10-13,2022-11-09,"2,009 kWh",381.16,381.16,323.99
10320353,2022120000512891,2022-09-01,2022-10-12,"3,668 kWh",695.91,695.91,612.40
10320353,2023080000758144,2023-05-11,2023-06-11,"3,768 kWh",927.55,927.55,788.42
10320353,2023090000800785,2023-06-12,2023-07-12,"2,795 kWh",686.94,686.94,583.90
